text,label
i feel very stressed and overwhelmed,High Stress
too much pressure at work,High Stress
panic and anxiety attacks,High Stress
i am exhausted and burned out,High Stress
I am extremely stressed right now,High Stress
I feel overwhelmed and anxious,High Stress
I cannot handle this pressure anymore,High Stress
I feel mentally exhausted,High Stress
I am very frustrated and angry,High Stress
I feel intense anxiety,High Stress
I am completely overwhelmed,High Stress
I cannot focus due to stress,High Stress
I feel panic and fear,High Stress
I am under heavy pressure,High Stress
I feel like breaking down,High Stress
I am very tense and nervous,High Stress
I feel out of control,High Stress
I am unable to manage stress,High Stress
I feel extreme pressure at work,High Stress
I am mentally drained,High Stress
I feel helpless and stressed,High Stress
I cannot sleep due to stress,High Stress
I feel emotionally exhausted,High Stress
I am feeling severe anxiety,High Stress
I feel intense frustration,High Stress
I am highly stressed about exams,High Stress
I feel overwhelmed by responsibilities,High Stress
I am completely exhausted,High Stress
I feel severe mental pressure,High Stress
I am extremely anxious,High Stress
I feel emotionally disturbed,High Stress
I am struggling badly,High Stress
I feel burnt out,High Stress
I am very upset and stressed,High Stress
I feel panic attacks coming,High Stress
I am under extreme stress,High Stress
I feel overloaded and tired,High Stress
I am mentally exhausted and stressed,High Stress
I feel severe tension,High Stress
I am very frustrated with everything,High Stress
I feel completely drained,High Stress
I am unable to cope with pressure,High Stress
I feel intense mental strain,High Stress
I am emotionally overwhelmed,High Stress
I feel very disturbed mentally,High Stress
I am exhausted and stressed,High Stress
I feel extremely pressured,High Stress
I am overwhelmed by workload,High Stress
I feel severe anxiety about exams,High Stress
I am mentally collapsing,High Stress
I feel intense stress daily,High Stress
I am unable to relax at all,High Stress
I feel extremely tense,High Stress
I am highly overwhelmed,High Stress
I feel completely overwhelmed today,High Stress
I am extremely anxious about everything,High Stress
I feel intense pressure from work,High Stress
I am mentally exhausted and frustrated,High Stress
I feel like I cannot manage anymore,High Stress
I am under severe academic pressure,High Stress
I feel constant anxiety,High Stress
I am unable to focus due to stress,High Stress
I feel highly frustrated and tense,High Stress
I am emotionally drained,High Stress
I feel extreme tension all day,High Stress
I am very worried and stressed,High Stress
I feel panic during exams,High Stress
I am overwhelmed with responsibilities,High Stress
I feel like giving up,High Stress
I am extremely stressed about deadlines,High Stress
I feel severe anxiety at work,High Stress
I am mentally disturbed today,High Stress
I feel heavy pressure constantly,High Stress
I am unable to sleep due to stress,High Stress
I feel emotionally unstable,High Stress
I am highly frustrated with workload,High Stress
I feel intense fear about results,High Stress
I am extremely overwhelmed by tasks,High Stress
I feel severe mental strain,High Stress
I am completely exhausted mentally,High Stress
I feel intense frustration daily,High Stress
I am suffering from extreme pressure,High Stress
I feel like breaking under stress,High Stress
I am very tense and anxious,High Stress
I feel highly disturbed mentally,High Stress
I am emotionally overwhelmed constantly,High Stress
I feel deep anxiety about exams,High Stress
I am under unbearable pressure,High Stress
I feel extremely worried about future,High Stress
I am highly stressed with workload,High Stress
I feel constant panic,High Stress
I am extremely anxious about performance,High Stress
I feel emotionally exhausted daily,High Stress
I am unable to manage my stress,High Stress
I feel severe emotional pressure,High Stress
I am mentally collapsing under pressure,High Stress
I feel extremely tense all the time,High Stress
I am very disturbed mentally,High Stress
I feel overwhelming anxiety,High Stress
I am stressed beyond control,High Stress
I feel extremely drained,High Stress
I am mentally overloaded,High Stress
I feel highly overwhelmed and anxious,High Stress
I am facing extreme stress daily,High Stress
I feel extremely overwhelmed and anxious because I cannot manage my workload and deadlines anymore,High Stress
I am under intense pressure from studies and I feel mentally exhausted almost every day,High Stress
I feel severe anxiety about my exams and I am unable to concentrate properly,High Stress
I am completely stressed out because everything feels out of control right now,High Stress
I feel mentally drained and emotionally unstable due to continuous academic pressure,High Stress
I am struggling to handle the overwhelming workload and I feel close to breaking down,High Stress
I feel constant panic and fear about failing or disappointing others,High Stress
I am experiencing extreme stress that affects my sleep and daily routine,High Stress
I feel intense frustration and anger because I cannot cope with expectations,High Stress
I am emotionally exhausted and feel unable to manage my responsibilities,High Stress
I feel severe tension in my mind and cannot relax at all,High Stress
I am overwhelmed by responsibilities and feel mentally suffocated,High Stress
I feel deep anxiety and fear about my performance and future,High Stress
I am under unbearable stress and I feel mentally collapsing,High Stress
I feel constant pressure that makes it difficult to stay calm,High Stress
I am extremely anxious and stressed about my academic workload,High Stress
I feel emotionally disturbed and unable to focus due to stress,High Stress
